pairs,Aggregate Dissimilarity
0 1,0.46867117378190837
0 2,0.45595190743632347
0 3,0.39569820132084466
0 4,0.4758159060483532
0 5,0.4566202848218026
0 6,0.42528950771755414
0 7,0.28678094692604744
0 8,0.19471325003996473
0 9,0.2488459466646665
0 10,0.3970634617584644
0 11,0.4550228689315129
0 12,0.45086725412962825
0 13,0.2320712046930366
0 14,0.3698508916875582
0 15,0.35727907824227806
0 16,0.309138594740714
0 17,0.46308207434883963
0 18,0.369257670770725
0 19,0.6525956256207797
0 20,0.21483726578948764
0 21,0.35893449037929015
0 22,0.3547286639346684
0 23,0.42643318158090715
0 24,0.5918092707625426
0 25,0.5357881542192554
0 26,0.42215539963618814
0 27,0.47185791790822573
0 28,0.28783662256527515
0 29,0.4902893599805442
0 30,0.2965445828626584
0 31,0.3582391036378913
0 32,0.6012445896055271
0 33,0.38115394726773655
0 34,0.31993157882375584
0 35,0.4319705541198548
0 36,0.3363609571236892
0 37,0.32046528824248266
0 38,0.5024365621067449
0 39,0.37765129216849896
0 40,0.4707905748333413
0 41,0.4782835686897546
0 42,0.5779507816045452
0 43,0.6649744907429505
0 44,0.3961012960702713
0 45,0.48991471407585196
0 46,0.2585621931142431
0 47,0.29652003579023767
0 48,0.3801336148670405
0 49,0.21217118097935245
0 50,0.3636408611779715
0 51,0.5810513647490403
0 52,0.5027747283343674
0 53,0.5187338104859941
0 54,0.42661243581963354
0 55,0.5844065669479731
0 56,0.20007667172003002
0 57,0.6005421569451926
0 58,0.42199823018638355
0 59,0.241371817687984
0 60,0.6360174496349381
0 61,0.4396148837082444
0 62,0.5150333771998609
0 63,0.5510888596445371
0 64,0.5022760401632532
0 65,0.27062590488918586
0 66,0.4391939847550558
0 67,0.41096432113328685
0 68,0.46934021408986804
0 69,0.43231800126220443
0 70,0.3412098373150352
0 71,0.5384108270772392
0 72,0.38818066039201066
0 73,0.424148485544123
0 74,0.413208029620134
0 75,0.26971031424040826
0 76,0.3396960254198572
0 77,0.6296212326115432
0 78,0.5244646427453931
0 79,0.4860340795188774
0 80,0.25192508900207816
0 81,0.40568719301953987
0 82,0.3609053020918803
0 83,0.3360490047450097
0 84,0.44532847998315045
0 85,0.39687479402051495
0 86,0.4567913188217708
0 87,0.48478672457957456
0 88,0.5687781694702605
0 89,0.22607111226270218
0 90,0.5571766851300047
0 91,0.3197051623857027
0 92,0.23598657638798917
0 93,0.2244561194563581
0 94,0.36227942675009644
0 95,0.2147411988517425
0 96,0.2289377027122242
0 97,0.39908906874922817
0 98,0.5768866584388517
0 99,0.5488105276635656
1 2,0.46881864562285547
1 3,0.4423517875799389
1 4,0.42884082132686013
1 5,0.3928430320786294
1 6,0.49439207356848514
1 7,0.4018018801239172
1 8,0.35429200636708635
1 9,0.32219788349686684
1 10,0.31854697999034787
1 11,0.45428416494117424
1 12,0.3723507723615117
1 13,0.5140989406119949
1 14,0.3371393985815732
1 15,0.3192609096205583
1 16,0.5390121356483344
1 17,0.5625701277281154
1 18,0.368859102834808
1 19,0.5026505724240916
1 20,0.4338264529556115
1 21,0.35184658003974506
1 22,0.393559120942062
1 23,0.4922477655724279
1 24,0.4910705667722039
1 25,0.34774786292732934
1 26,0.3563373305664843
1 27,0.23823939532378272
1 28,0.25863986868831507
1 29,0.34909658818422123
1 30,0.27811880404238765
1 31,0.4098813520285049
1 32,0.3628641622591792
1 33,0.5031468930149184
1 34,0.4382404938810361
1 35,0.6074223263199922
1 36,0.4934453823850511
1 37,0.5117900763156359
1 38,0.43979309621164425
1 39,0.42838651108065456
1 40,0.5351312359223676
1 41,0.389563005288985
1 42,0.4994342998364286
1 43,0.49586843981383616
1 44,0.4915077167964858
1 45,0.4113982323077354
1 46,0.4993200877633602
1 47,0.5258266832738218
1 48,0.6508234823052731
1 49,0.3495277150842518
